owner_cik,owner_name,issuer_count,filing_count,form3_count,form4_count,form5_count,roles,chairman_flag,director_flag,agent_prefixes,issuer_list
0001968313,Rapaport-Dagim Tamar,2,3,2,1,0,Director; See Remarks,0,1,0001193125; 0001976408,AMDOCS LTD [0001062579]; SIMILARWEB LTD. [0001842731]
0000919590,RECANATI LEON,2,2,1,1,0,Director,0,1,0001178913; 0001213900,KAMADA LTD [0001567529]; Evogene Ltd. [0001574565]
0001971502,Ripstein David,2,3,2,1,0,Director,0,1,0001213900; 0001976408,RADCOM LTD [0001016838]; CERAGON NETWORKS LTD [0001119769]
0002112936,Salgar Mauricio,2,3,2,1,0,Director,0,1,0000950103; 0001997711,Grupo Aval Acciones Y Valores S.A. [0001504764]; Logistic Properties of the Americas [0001997711]
0002125071,Shah Keeren Rameshchandra,2,3,2,1,0,CHIEF FINANCIAL OFFICER; CHIEF OPERATING & FIN. OFFICER; Chief Financial Officer,0,0,0001213900; 0001493152,Tiziana Life Sciences Ltd [0001723069]; OKYO Pharma Ltd [0001849296]
0001982355,Shen Nan,2,2,1,1,0,CFO; Director,0,1,0001104659; 0001193125,So-Young International Inc. [0001758530]; Gaotu Techedu Inc. [0001768259]
0001965230,Stav Orit,2,3,2,1,0,Director,0,1,0001178913; 0001976408,CAMTEK LTD [0001109138]; Innoviz Technologies Ltd. [0001835654]
0002117085,Steen Carl Erik,2,2,1,1,0,Director,0,1,0002117085,GOLAR LNG LTD [0001207179]; Himalaya Shipping Ltd. [0001959455]
0002115871,Taylor Vaughn William,2,3,2,1,0,Director,0,1,0001493152; 0002115871,IPERIONX Ltd [0001898601]; MIXED MARTIAL ARTS GROUP LTD [0001981519]
0002121045,Veniou Margarita,2,3,2,1,0,Secretary,0,0,0000919574,DIANA SHIPPING INC. [0001318885]; OceanPal Inc. [0001869467]
0002111395,Verjus Nathalie Claude Odile,2,3,2,1,0,Company Secretary,0,0,0002111395,Wisekey International Holding S.A. [0001738699]; SEALSQ Corp [0001951222]
0001970120,Wang Gaofei,2,2,1,1,0,Chief Executive Officer; Director,0,1,0001104659,WEIBO Corp [0001595761]; DiDi Global Inc. [0001764757]
0002114532,Weum Mikkel Storm,2,2,1,1,0,Director,0,1,0000919574,Star Bulk Carriers Corp. [0001386716]; Flex LNG Ltd. [0001772253]
0002019035,Yan Huiping,2,2,1,1,0,Chief Financial Officer; Director,0,1,0001104659; 0002019035,ZTO Express (Cayman) Inc. [0001677250]; WeRide Inc. [0001867729]
0001501343,Yang Donghao,2,3,2,1,0,Director,0,1,0001104659; 0001193125; 0001501343,Vipshop Holdings Ltd [0001529192]; XPENG INC. [0001810997]
0002119435,Zhang Quan (Joe),2,3,2,1,0,Director,0,1,0001104659; 0002119435,Polestar Automotive Holding UK PLC [0001884082]; Lotus Technology Inc. [0001962746]
0002045012,Zhu Yanjie,2,3,2,1,0,Chief Financial Officer; Director,0,1,0001104659; 0002045012,Baozun Inc. [0001625414]; GreenTree Hospitality Group Ltd. [0001724755]
0001341946,Zuccotti Patricia L,2,3,2,1,0,Director,0,1,0001104659,Brookfield Renewable Partners L.P. [0001533232]; Brookfield Business Corp [0001654795]
0001969583,Abrahami Avishai,2,2,2,0,0,Chief Executive Officer; Director,0,1,0001178913; 0001628280,Wix.com Ltd. [0001576789]; monday.com Ltd. [0001845338]
0002045969,Anagnostara Christina,2,2,2,0,0,Director,0,1,0001140361,Seanergy Maritime Holdings Corp. [0001448397]; United Maritime Corp [0001912847]
0002091557,Anagnostopoulos Dimitrios,2,2,2,0,0,Director,0,1,0001140361,Seanergy Maritime Holdings Corp. [0001448397]; Dynagas LNG Partners LP [0001578453]
0002068352,Assia Ronen,2,2,2,0,0,Director,0,1,0001213900; 0002068352,eToro Group Ltd. [0001493318]; RISKIFIED LTD. [0001851112]
0002117585,Bendersky Nicolas,2,2,2,0,0,Director,0,1,0001654954,IRSA INVESTMENTS & REPRESENTATIONS INC [0000933267]; CRESUD INC [0001034957]
0002081399,Berenstin Asaf,2,2,2,0,0,CFO,0,0,0002081399,MAGIC SOFTWARE ENTERPRISES LTD [0000876779]; FORMULA SYSTEMS (1985) LTD [0001045986]
0001670817,Bernstein Guy,2,2,2,0,0,CEO,0,0,0001670817,MAGIC SOFTWARE ENTERPRISES LTD [0000876779]; FORMULA SYSTEMS (1985) LTD [0001045986]
0002123264,Brisson Mark Allen,2,2,2,0,0,Director,0,1,0001213900; 0002123264,SU Group Holdings Ltd [0001969863]; Concorde International Group Ltd. [0002001794]
0002117187,Casaretto Alejandro Gustavo,2,2,2,0,0,Director,0,1,0001654954; 0002117187,CRESUD INC [0001034957]; BrasilAgro - Brazilian Agricultural Real Estate Co [0001499849]
0002120327,Cetin Serdar,2,3,3,0,0,Director,0,1,0001104659,TURKCELL ILETISIM HIZMETLERI A S [0001071321]; Kyivstar Group Ltd. [0002062440]
0002125608,Chan Chin Hoong,2,2,2,0,0,Director,0,1,0001493152,JBDI Holdings Ltd [0001964314]; SKK Holdings Ltd [0001991261]
0002121106,Chan Chung Ho,2,2,2,0,0,Chief Financial Officer; Director,0,1,0001213900,SAMFINE CREATION HOLDINGS GROUP Ltd [0001926792]; NewGenIvf Group Ltd [0001981662]
0002113590,Chan Yong Xian,2,2,2,0,0,Director,0,1,0001185185; 0001493152,YY Group Holding Ltd. [0001985337]; Uni-Fuels Holdings Ltd [0002021688]
0001811107,Charette Mikael,2,2,2,0,0,Director,0,1,0001811107,Haoxin Holdings Ltd [0001936817]; SPRINGVIEW HOLDINGS LTD [0002002236]
0002035035,Chen Chen,2,2,2,0,0,Chief Financial Officer; Director,0,1,0001193125; 0001493152,Yunji Inc. [0001759614]; ATRenew Inc. [0001838957]
0002107789,Chiu Chang-Wei,2,2,2,0,0,Director,0,1,0001104659; 0001213900,Cango Inc. [0001725123]; Aurelion Inc. [0001765850]
0002117488,CHOONG Khuat Leok,2,2,2,0,0,Director,0,1,0001213900; 0001493152,Abits Group Inc [0001864055]; Linkers Industries Ltd [0001972074]
