rank,item_id,published_at,publisher,language,title,score,rationale_tags
51,3083,2024-01-04T14:30:07.941-03:00,O Globo,pt,"Tráfico sexual, presentes de luxo e visita de famosos: como era a ilha em que Jeffrey Epstein explorava menores",75.7,base:44;primary:properties;topic:maxwell;topic:political_intelligence;topic:properties;era:2020_2024;fulltext:substantive;documents:2;outlet:quality;hash:unique;independence:repeat-capped;language:non-en
52,4444,2019-08-28T19:18:57+02:00,Die Presse,de,Trotz Tod Epsteins: Opfer bekommen ihren Tag vor Gericht,75.6,base:31;primary:maxwell;topic:maxwell;topic:science_philanthropy;topic:legal_accountability;era:2019;fulltext:substantive;outlet:quality;hash:unique;independence:first-pass;language:non-en
53,6660,2018-12-04T18:38:00-0500,CBS News,en,Attorney for sex abuse victims doubts Jeffrey Epstein will face more charges,75.0,base:49;primary:wexner_black;topic:wexner_black;topic:political_intelligence;topic:science_philanthropy;topic:legal_accountability;era:2015_2018;fulltext:substantive;documents:2;hash:unique;independence:repeat-capped
54,1830,2008-08-12,Palm Beach Post,en,"Scientist, stuntman and a reputed 'sex slave' visit Epstein in jail",75.0,base:67;primary:science_philanthropy;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:pre_2015;fulltext:substantive;historical:curated;outlet:investigative;hash:unique;independence:repeat-capped
55,2272,2023-05-19T15:33:55+00:00,Times of Israel,en,"Jeffrey Epstein-linked accounts transferred funds to Noam Chomsky, Bard College head",74.8,base:39;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:political_intelligence;topic:science_philanthropy;topic:legal_accountability;era:2020_2024;fulltext:substantive;outlet:quality;hash:unique;independence:repeat-capped
56,2144,2026-06-09T16:36:33Z,ctinsider.com,en,3 questions Congress may ask Jeffrey Epstein aide Lesley Groff,74.2,base:45;primary:staff_operations;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:properties;topic:staff_operations;topic:legal_accountability;era:2026_plus;fulltext:longform;documents:2;hash:unique;independence:first-pass
57,2277,2020-07-10T12:34:16+0200,NOS Nieuws,nl,"Wie is Ghislaine Maxwell, vertrouweling van Jeffrey Epstein?",73.8,base:23;primary:maxwell;topic:wexner_black;topic:maxwell;topic:political_intelligence;era:2020_2024;fulltext:substantive;hash:unique;independence:first-pass;language:non-en
58,4031,2019-10-04T16:22:48+02:00,Franceinfo,fr,"""Les filles qui résistaient n’avaient plus de travail"" : Jean-Luc Brunel, un Français au cœur du réseau de Jeffrey Epstein",73.2,base:40;primary:staff_operations;topic:maxwell;topic:staff_operations;era:2019;fulltext:longform;documents:1;hash:unique;independence:repeat-capped;language:non-en
59,7216,2019-07-11T17:52:00.000Z,NBC News,en,"Who is Jeffrey Epstein, and why has he been arrested again?",72.7,base:66;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:wexner_black;topic:political_intelligence;topic:properties;topic:legal_accountability;era:2019;fulltext:longform;documents:3;original-signals:1;hash:unique;independence:repeat-capped
60,2165,2014-06-03,Associated Press via KSL,en,Rich man's accusers press to reopen sex abuse case,72.0,base:34;primary:science_philanthropy;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:legal_accountability;era:pre_2015;fulltext:substantive;historical:curated;hash:unique;independence:first-pass
