holder_id,business_name,holder_key,license_numbers,dbas,scope_classes,query,current_state,lapsed_state
BH-4e0297538f340c13,Babari Corp.,BABARICORP,"[""LB-102053""]","[""Las Palmas""]","[""alcohol_license""]",Babari,pending,pending
BH-6f462d13f865964d,Babushka Market & Liquor Corp.,BABUSHKAMARKETLIQUORCORP,"[""LB-102056""]","[""BABUSHKA DELI""]","[""alcohol_license""]",Babushka Market & Liquor,pending,pending
BH-7ee9b9802d9501fc,"BACCO'S WINE & CHEESE, INC.",BACCOSWINECHEESEINC,"[""LB-102050""]","[""BACCO'S WINE & CHEESE""]","[""alcohol_license""]",BACCO'S WINE & CHEESE,pending,pending
BH-9681e9f015f1ca5d,"Back Street Boston Lessee, LLC",BACKSTREETBOSTONLESSEELLC,"[""LB-101657""]","[""Pennyweight Hotel""]","[""alcohol_license""]",Back Street Boston Lessee,pending,pending
BH-c15298aa3f304459,"BAMBOO, INC.",BAMBOOINC,"[""LB-99535""]",[],"[""alcohol_license""]",BAMBOO,pending,pending
BH-8f088588b4f5419d,"BAM HOSPITALITY, LLC",BAMHOSPITALITYLLC,"[""LB-101666""]","[""FENWAY MARRIOTT RESIDENCE INN""]","[""alcohol_license""]",BAM HOSPITALITY,pending,pending
BH-5287a1fac41e20ac,BAPA BABA CORP.,BAPABABACORP,"[""LB-101994""]","[""MORRISSEY BLVD. WINES & SPIRITS""]","[""alcohol_license""]",BAPA BABA,pending,pending
BH-0da477031cc77bcd,"BARAKAT AND SONS, INC.",BARAKATANDSONSINC,"[""LB-101999""]","[""BRIGHTON GOURMET AND CELLAR""]","[""alcohol_license""]",BARAKAT AND SONS,pending,pending
BH-46bb7afa7bf99224,"BARCELONA SOUTH END, LLC",BARCELONASOUTHENDLLC,"[""LB-99247""]","[""BARCELONA""]","[""alcohol_license""]",BARCELONA SOUTH END,pending,pending
BH-44a295f22c22228b,"BARRY'S CORNER PROPERTY, LLC",BARRYSCORNERPROPERTYLLC,"[""LB-98994""]",[],"[""alcohol_license""]",BARRY'S CORNER PROPERTY,pending,pending
BH-f5dfb6fe114d28d4,"Bartaco Fenway, LLC",BARTACOFENWAYLLC,"[""LB-98992""]","[""Bartaco""]","[""alcohol_license""]",Bartaco Fenway,pending,pending
BH-6c80285c8e374d8a,"BARTACO FORT POINT, LLC",BARTACOFORTPOINTLLC,"[""LB-99287""]","[""BARTACO""]","[""alcohol_license""]",BARTACO FORT POINT,pending,pending
BH-bd7c275fff5a8700,"BARVOLPE, LLC",BARVOLPELLC,"[""LB-98913""]","[""BAR VOLPE""]","[""alcohol_license""]",BARVOLPE,pending,pending
BH-d4ea48440557be26,BASHO FENWAY VENTURES LLC,BASHOFENWAYVENTURESLLC,"[""LB-99090""]","[""BASHO JAPANESE RESTAURANT & LOUNGE""]","[""alcohol_license""]",BASHO FENWAY VENTURES,pending,pending
BH-ed19bc6ddbb7d7db,"BAYSIDE CLUB HOTEL, LLC",BAYSIDECLUBHOTELLLC,"[""LB-101648""]","[""CLUB HOTEL BY DOUBLETREE""]","[""alcohol_license""]",BAYSIDE CLUB HOTEL,pending,pending
BH-76ff214d995078a8,"Bay Sweets, LLC",BAYSWEETSLLC,"[""LB-471191""]","[""Bay Sweets Market""]","[""alcohol_license""]",Bay Sweets,pending,pending
BH-a5cdf77c69015329,BB Fusion Lounge Inc.,BBFUSIONLOUNGEINC,"[""LB-98973""]","[""Black Bamboo""]","[""alcohol_license""]",BB Fusion Lounge,pending,pending
BH-76bf98557c7c3061,"BBRG NEWBURY TR, LLC",BBRGNEWBURYTRLLC,"[""LB-99366""]","[""JOE'S AMERICAN BAR & GRILL""]","[""alcohol_license""]",BBRG NEWBURY TR,pending,pending
BH-0d9188b80bf173fa,"BBRG TR, LLC",BBRGTRLLC,"[""LB-98945"", ""LB-98946""]","[""ABE & LOUIE'S"", ""ATLANTIC FISH COMPANY""]","[""alcohol_license""]",BBRG TR,pending,pending
BH-5c2913d7152d2478,"BBRG WATERFRONT TR, LLC",BBRGWATERFRONTTRLLC,"[""LB-98890""]","[""JOE'S AMERICAN BAR & GRILL""]","[""alcohol_license""]",BBRG WATERFRONT TR,pending,pending
