license_num,business_name,dba_name,license_type,holder_key,sample_rank
LB-99260,SHANGHAI RESTAURANT & BAR CORPORATION,to: GENKI YA OF BOSTON,CV7 All Alc.,SHANGHAIRESTAURANTBARCORPORATION,9f0850738634891c50b69d90800a61afc6ad617b9856fd02ff50014ca28a9cb1
LB-99002,UKUSA CORP.,LUCCA,CV7 All Alc.,UKUSACORP,9f51ac0e04212411dca640f88bacca146dfef3d71c1ddd93f88950ce95b6be78
LB-99325,"Kings Bowl of Seaport, LLC",KING'S,CV7 All Alc.,KINGSBOWLOFSEAPORTLLC,9fe09dae39672591075585e32a3580cf580f284d7a9a0c2f34d47c0daf4ed6da
LB-99345,WAN XI LLC,ZHU,CV7 All Alc.,WANXILLC,a0b46b8c7eea2be4d0db2ed6c7371078222bb1ab9da0e1283abf22fc824dbed7
LB-99067,Stark Hospitality LLC,Hue,CV7 All Alc.,STARKHOSPITALITYLLC,a0efe4a1df9d5e597749ef66f42ece346c1c95d4c40d1c259c21b5573807ed24
LB-99166,"AMERICAN MULTI-CINEMA, INC.",AMC THEATRES BOSTON COMMON 19,CV7 All Alc.,AMERICANMULTICINEMAINC,a0f8cfbbd442d94c8fa5f80ce0ce22eb1b95ef5324c7fa9da89551634cdf41ac
LB-98939,TYCOR CORPORATION,WARREN TAVERN,CV7 All Alc.,TYCORCORPORATION,a183879fcd4f68ffbaa420acb73ea20548968930dd78bc92c6901ba32ae54849
LB-99295,"D & D HOSPITALITY, LLC",PUBLICO,CV7 All Alc.,DDHOSPITALITYLLC,a2875f4eeb30283eab5087685c0a971c1c310b53863d88988d691b3ef727d025
LB-99151,"UNION STREET HOSPITALITY, INC.",THE WHITE BULL,CV7 All Alc.,UNIONSTREETHOSPITALITYINC,a373ac1b7debf16585e33ddacde4f3e2790ee872448c3e2c5a8c657fb062a260
LB-99030,"THE METROPOLITAN CLUB, INC.",MET PRIME & SALTIE GIRL,CV7 All Alc.,THEMETROPOLITANCLUBINC,a50e942694011d33b349dbb4cf45dd014b7f6f858e57a0d254229cae4d0cace9
LB-451415,Sugar Bowl Cafe LLC,The Sugar Bowl,CV7 All Alc.,SUGARBOWLCAFELLC,a52c3a5bb43db6c8debec93f3fa5af31a668f3304ba61b8174b5ec923b1015c5
LB-124751,"LITTLE Q COMPANY, INC.","Little Q Hot Pot, Sushi Bar and Lounge",CV7 All Alc.,LITTLEQCOMPANYINC,a5c9ddba3242f8d1be61301a2b528b871ab1392a4a7a0d78b300ca386b6e93de
LB-99010,Street Prince LLC,Hobgoblin,CV7 All Alc.,STREETPRINCELLC,a6050e17c20833044d42ff22f5bc53857bba32f7c6030fbe0f6b5d9c57ccfe77
LB-99367,"Fork & Knife, LLC",Sloane's,CV7 All Alc.,FORKKNIFELLC,a68af0ae6839a4d5ddc38b3dcd7d173270efb9971d31a258e1449995d6f45084
LB-99383,LSF Park Square LLC,Legal Sea Foods,CV7 All Alc.,LSFPARKSQUARELLC,a69c72f47080a41492171a56448bcea748fb7f0d8994251969f916e72d1be0c8
LB-98966,Fenway Johnnie's LLC,FENWAY JOHNNIE'S,CV7 All Alc.,FENWAYJOHNNIESLLC,a6dc7d34075c81c9be89e560042ac67f6e6829ac21dd534cb723a64469e5c14f
LB-99091,"LSF Copley Square, LLC",LEGAL SEA FOODS,CV7 All Alc.,LSFCOPLEYSQUARELLC,a734bc9b44748fd6404629351040c3299313da06eb2fba88815a759be011b7ad
